accession,organism_name,tax_id,fppl_name,priority,release_date,collection_date,geo_loc_name,host,isolation_source,host_disease,env_broad_scale,host_category,submitter,submitter_category,bioproject_accession,study_accession,platform,instrument_model,library_strategy,library_source,library_selection
SRR38312360,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312361,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312362,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312363,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312364,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312365,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312366,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312367,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312368,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312369,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312370,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312371,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312372,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312373,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312374,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312375,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312376,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312377,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312378,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312379,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312380,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312381,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312382,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312383,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312384,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312385,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312386,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312387,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312388,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312389,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312390,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312391,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312392,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:37,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312393,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312394,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312395,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312396,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312397,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312398,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312399,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312400,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:36,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312401,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312402,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312403,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312404,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312405,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312406,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312407,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312408,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312409,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312410,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312411,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312412,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312413,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312414,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312415,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312416,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312417,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312418,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312419,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312420,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
SRR38312421,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-05-05 21:46:38,,South Korea: Seoul,,laboratory strain,,laboratory environment,animal,Yonsei University,university,,,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM
ERR16015496,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015634,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:49,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014151,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:35,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015595,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015619,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16013332,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014173,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:05:45,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015585,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:11:40,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16013016,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:35,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015606,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:11:40,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015627,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:05:45,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16013335,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16013132,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:38,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015500,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:11:40,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015611,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015580,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015572,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015794,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014172,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014195,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:13:39,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014177,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015618,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:11:40,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015579,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:36,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015501,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015600,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014175,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:35,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014160,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:11:40,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015587,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16012763,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:36,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015561,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015633,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:38,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015622,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:36,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014183,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015563,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015570,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:05:45,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015494,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015641,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:11:40,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014184,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16013091,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015578,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:05:45,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015499,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:05:45,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014165,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015479,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014164,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:09:37,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015594,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16015604,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:36,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16013127,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-27 01:07:48,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
ERR16014149,Cryptococcus neoformans,5207,Cryptococcus neoformans,Critical,2026-03-26 22:19:35,,,,,,,unknown,"College of Life and Health Sciences, Northeastern University",university,,,ILLUMINA,HiSeq X Ten,WGS,GENOMIC,RANDOM
